Location;Season;Sampling;Event number;Sample number;The number of sample;Image;FT-IR;Lost;Broken;diameter / mm;area / mm^2;estimated mass / µg;Color;Shape;Component;Remark;Product;Remark;Note
Ubon Ratchathani;Dry Season;Accumulation Sampling;502;1;1;0502-0001.jpg;0502-0001-air-ATR.JDX;;;6,33;2,14;128,61;red;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;502;2;1;0502-0002.jpg;0502-0002-air-ATR.JDX;;;6,53;1,72;103,21;white;Fiber;PP;??;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;502;3;1;0502-0003.jpg;0502-0003-air-ATR.JDX;;;5,75;9,12;1168,15;white;Fiber;PET;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;502;5;1;0502-0005.jpg;0502-0005-air-ATR.JDX;;;2,24;0,80;101,94;white;Fiber;PU;polyetherurethane;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;502;6;1;0502-0006.jpg;0502-0006-air-ATR.JDX;;;0,97;0,29;-;green;Fragment;Not Plastic;No similar plastics;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;502;13;1;-;-;?;;;;-;-;-;-;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;502;14;1;0502-0014.jpg;0502-0014-air-ATR.JDX;;;1,65;1,36;-;green;Fragment;others;similar to vinyl chloride vinyl acetate hydroxypropyl acrylate;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;502;19;1;0502-0019.jpg;0502-0019-air-ATR.JDX;;;2,22;0,36;45,80;blue;Fiber;PET;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;502;22;1;0502-0022.jpg;0502-0022-air-ATR.JDX;;;2,61;1,57;-;multicolor;Fragment;others;similar to cellulose acetate;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;507;1;1;0507-0001.jpg;0507-0001-air-ATR.JDX;;;7,03;6,00;768,42;white;Fiber;PET;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;507;4;1;0507-0004.jpg;0507-0004-air-ATR.JDX;;;0,93;0,29;66,31;blue;Fragment;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;507;7;1;0507-0007.jpg;0507-0007-air-ATR.JDX;;;0,72;0,21;21,16;red;Fragment;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;507;9;1;0507-0009.jpg;0507-0009-air-ATR.JDX;;;2,42;0,50;112,49;white;Fragment;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;507;10;1;0507-0010.jpg;0507-0010-air-ATR.JDX;;;2,16;1,08;40,94;transparent;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;507;12;1;0507-0012.jpg;0507-0012-air-ATR.JDX;;;1,95;0,71;72,59;white;Fragment;PP;??;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;508;2;1;0508-0002.jpg;0508-0002-air-ATR.JDX;;;1,86;0,74;74,67;white;Sheet;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;508;3;1;0508-0003.jpg;0508-0003-air-ATR.JDX;;;2,50;2,56;-;white;Fragment;Not Plastic;inorganic substance;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;508;4;1;0508-0004.jpg;0508-0004-air-ATR.JDX;;;1,18;0,35;-;red;Sheet;Not Plastic;plant;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;508;6;1;0508-0006.jpg;0508-0006-air-ATR.JDX;;?;1,35;0,60;-;white;Fragment;Not Plastic;plant;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;508;7;1;0508-0007.jpg;0508-0007-air-ATR.JDX;;;1,36;0,18;-;white;Fiber;Not Plastic;plant;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;508;8;1;0508-0008.jpg;0508-0008-air-ATR.JDX;;;1,42;0,54;54,75;transparent;Sheet;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;1;1;0509-0001.jpg;0509-0001-air-ATR.JDX;;;4,42;9,51;361,26;blue;Sheet;PP;??;;;Similar to blue tarpaulin
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;2;1;0509-0002.jpg;0509-0002-air-ATR.JDX;;;2,94;1,88;71,37;blue;Sheet;PP;??;;;Similar to blue tarpaulin
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;3;1;0509-0003.jpg;0509-0003-air-ATR.JDX;;;1,26;0,60;22,84;red;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;4;1;0509-0004.jpg;0509-0004-air-ATR.JDX;;;4,63;3,29;333,49;blue;Sheet;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;5;1;0509-0005.jpg;0509-0005-air-ATR.JDX;;;3,95;3,24;123,25;yellow;Sheet;PP;??;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;6;1;0509-0006.jpg;0509-0006-air-ATR.JDX;;;9,11;4,12;527,40;green;Fiber;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;8;1;0509-0008.jpg;0509-0008-air-ATR.JDX;;;2,90;3,83;145,48;transparent;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;9;1;0509-0009.jpg;0509-0009-air-ATR.JDX;;;2,80;3,01;114,20;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;11;1;0509-0011.jpg;0509-0011-air-ATR.JDX;;;0,53;0,13;5,00;blue;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;12;1;0509-0012.jpg;0509-0012-air-ATR.JDX;;;2,72;3,99;73,07;white;Sheet;PS;;Styrofoam;PSP;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;13;1;0509-0013.jpg;0509-0013-air-ATR.JDX;;;0,51;0,13;-;yellow;Fragment;Not Plastic;No similar plastics;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;14;1;0509-0014.jpg;0509-0014-air-ATR.JDX;;;2,05;0,75;96,28;blue;Fiber;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;15;1;0509-0015.jpg;0509-0015-air-ATR.JDX;;;0,71;0,31;31,61;blue;Fragment;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;16;1;0509-0016.jpg;0509-0016-air-ATR.JDX;;;1,09;0,23;13,89;green;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;18;1;0509-0018.jpg;0509-0018-air-ATR.JDX;;;2,10;0,91;116,93;multicolor;Fiber;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;19;1;0509-0019.jpg;0509-0019-air-ATR.JDX;;;2,78;1,85;70,17;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;20;1;0509-0020.jpg;0509-0020-air-ATR.JDX;;;1,96;1,03;61,96;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;21;1;0509-0021.jpg;0509-0021-air-ATR.JDX;;;2,63;0,93;35,52;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;22;1;0509-0022.jpg;0509-0022-air-ATR.JDX;;;1,78;0,56;33,73;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;23;1;0509-0023.jpg;0509-0023-air-ATR.JDX;;;1,68;0,39;14,65;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;24;1;0509-0024.jpg;0509-0024-air-ATR.JDX;;;2,31;1,23;46,91;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;25;1;0509-0025.jpg;0509-0025-air-ATR.JDX;;;1,28;0,38;14,37;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;26;1;0509-0026.jpg;0509-0026-air-ATR.JDX;;;2,37;1,12;67,37;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;27;1;0509-0027.jpg;0509-0027-air-ATR.JDX;;;2,34;0,47;28,30;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;28;1;0509-0028.jpg;0509-0028-air-ATR.JDX;;;2,29;0,74;27,93;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;29;1;0509-0029.jpg;0509-0029-air-ATR.JDX;;;2,70;0,57;73,08;multicolor;Fiber;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;30;1;0509-0030.jpg;0509-0030-air-ATR.JDX;;;3,08;2,52;95,77;transparent;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;31;1;0509-0031.jpg;0509-0031-air-ATR.JDX;;?;0,76;0,33;12,48;red;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;32;1;0509-0032.jpg;0509-0032-air-ATR.JDX;;;1,52;0,45;8,19;white;Fragment;PS;;Styrofoam;PSP;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;33;1;0509-0033.jpg;0509-0033-air-ATR.JDX;;;1,29;0,29;37,44;white;Fiber;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;34;1;0509-0034.jpg;0509-0034-air-ATR.JDX;;;1,74;0,57;33,94;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;35;1;0509-0035.jpg;0509-0035-air-ATR.JDX;;;1,80;0,26;33,54;white;Fiber;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;36;1;0509-0036.jpg;0509-0036-air-ATR.JDX;;;1,52;0,42;95,22;transparent;Fragment;Nylon;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;37;1;0509-0037.jpg;0509-0037-air-ATR.JDX;;;2,15;0,23;14,04;yellow;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;38;1;0509-0038.jpg;0509-0038-air-ATR.JDX;;;3,25;4,06;154,47;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;39;1;0509-0039.jpg;0509-0039-air-ATR.JDX;;;4,81;3,99;239,22;multicolor;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;40;1;0509-0040.jpg;0509-0040-air-ATR.JDX;;;2,17;0,86;32,75;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;41;1;0509-0041.jpg;0509-0041-air-ATR.JDX;;;1,39;0,76;28,78;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;42;1;0509-0042.jpg;0509-0042-air-ATR.JDX;;;2,58;1,73;65,62;transparent;Sheet;PP;;;;
